category_id,cod_prod,descricao,unid_medida,layer_pallet,ballast,box_by_pallet,height,length,width,weight_gross,weight_liquid,ean_box,ean,factor,cubagem
6,03.2008,L L LIQ YPE CL CARE FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,47896098900275,7896098900277,24,0
6,03.200801,L L LIQ YPE CL CARE FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.11,12.24,47896098902279,7896098906279,24,0
6,03.200803,L L LIQ YPE CL CARE FR 24X500ML IN,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098901929,7896098900277,24,0
6,03.200804,L L LIQ YPE CL CARE FR 24X500ML ES,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098901936,7896098900277,24,0
6,03.200806,L L LIQ YPE CL CARE FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13,12.24,67896098901061,,24,0
6,03.200813,L L LIQ YPE CL CARE FR 24X500ML AR,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098903954,7896098900277,24,0
6,03.200814,L L LIQ YPE CL CARE FR 24X500ML FR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098905705,7896098900277,24,0
6,03.200815,L L LIQ YPE CL CARE FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13,12.24,27896098900271,7896098900277,24,0
6,03.2009,L L LIQ FY 24X500M,CX,12,7,84,23.2,36.9,24.6,13,12.24,47896098900282,7896098900284,24,0
6,03.2010,L L LIQ YPE COCO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.13,12.24,47896098900237,7896098900239,24,0
6,03.201001,L L LIQ YPE COCO FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.13,12.24,47896098902231,7896098906231,24,0
6,03.201003,L L LIQ YPE COCO FR 24X500ML BI,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098901868,7896098900239,24,0
6,03.201004,L L LIQ YPE COCO FR 24X500ML ES,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098901875,7896098900239,24,0
6,03.201006,L L LIQ YPE COCO FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,67896098901061,,24,0
6,03.201013,L L LIQ YPE COCO FR 24X500ML AR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098903930,7896098900239,24,0
6,03.201014,L L LIQ CO 24X500M F,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,27896098902435,7896098900239,24,0
6,03.201015,L L LIQ YPE COCO FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,17896098900236,7896098900239,24,0
6,03.2011,L L LIQ YPE CL FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,47896098900251,7896098900253,24,0
6,03.201101,L L LIQ YPE CL FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.071,12.24,47896098902255,7896098906255,24,0
6,03.201103,L L LIQ YPE CL FR 24X500ML BI,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098901882,7896098900253,24,0
6,03.201104,L L LIQ YPE CL FR 24X500ML ES,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098901899,7896098900253,24,0
6,03.201106,L L LIQ YPE CLEAR FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13,12.24,67896098901061,,24,0
6,03.201113,L L LIQ YPE CL FR 24X500ML AR,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098903947,7896098900253,24,0
6,03.201114,L L LIQ C 24X500M F,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098902421,7896098900253,24,0
6,03.201115,L L LIQ YPE CL FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13,12.24,17896098900250,7896098900253,24,0
6,03.2014,L L LIQ YPE MACA FR 24X500ML L6P5,CX,12,7,84,23.2,36.9,24.6,13.071,12.24,47896098901210,7896098903216,24,0
6,03.2016,L L LIQ YPE CLEAR FR 24X500ML L6P5,CX,12,7,84,23.2,36.9,24.6,13.071,12.24,17896098903251,7896098903254,0,0
6,03.2022,L L LIQ A V 24X500M PR,CX,13,6,78,23.2,36.9,24.6,13.11,12.24,47896098901265,7896098903261,4,0
6,03.2025,L L LIQ YPE ANTIBAC FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13,12.24,27896098900189,7896098900185,24,0
6,03.202501,L L LIQ YPE ANTIBAC FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.11,12.24,27896098901902,7896098901908,24,0
6,03.202503,L L LIQ YPE ANTIBAC FR 24X500ML BI,CX,12,7,84,23.2,36.9,24.6,13,12244,37896098900186,7896098900185,24,0
6,03.202506,L L LIQ YPE ANTIBAC FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13,12.24,67896098901061,,24,0
6,03.202515,L L LIQ YPE ANTIBAC FR 24X500ML RU,CX,12,7,84,23.2,36.9,24.6,13,12.24,47896098900183,7896098900185,24,0
6,03.2026,L L LIQ NEUTRO E I,CX,13,6,78,23.2,36.9,24.6,13.065,12.24,97896098900201,7896098900208,24,0
6,03.2027,L L LIQ C 24X500M EI,CX,13,6,78,23.2,36.9,24.6,13,12.24,97896098900256,7896098900253,24,0
6,03.2028,L L LIQ YPE CL FR 24X500ML E6 10%,CX,12,7,84,23.2,36.9,24.6,13.071,12.24,27896098900844,7896098900840,24,0
6,03.2029,L L EXPERT YPE AB FR 12X400ML,CX,24,7,168,20.4,21.8,20.1,5.4,4992,27896098902008,7896098902004,12,0
6,03.2030,L L ULTRA GEL CONC YPE CAP LI FR 12X416G,CX,24,7,168,20.4,21.8,20.1,5.4,4992,27896098902015,7896098902011,12,0
6,03.203004,L L ULTRA GEL CONC YPE CAP LI 12X416G ES,CX,24,7,168,20.4,21.8,20.1,5.4,4992,37896098902012,7896098902011,0,0
6,03.203014,L L ULTRA GEL CONC YPE CAP LI 12X416G FR,CX,24,7,168,20.4,21.8,20.1,5.4,4992,47896098902019,7896098902011,0,0
6,03.2031,L L ULTRA GEL CONC YPE NEUTRO FR 12X416G,CX,24,7,168,20.4,21.8,20.1,5.4,4992,27896098902022,7896098902028,12,0
6,03.203104,L L ULTRA GEL CONC YPE NEUTRO 12X416G ES,CX,24,7,168,20.4,21.8,20.1,5.4,4992,37896098902029,7896098902028,0,0
6,03.203114,L L ULTRA GEL CONC YPE NEUTRO 12X416G FR,CX,24,7,168,20.4,21.8,20.1,5.4,4992,47896098902026,7896098902028,0,0
6,03.2032,L L ULTRA GEL CONC YPE CLEAR FR 12X416G,CX,24,7,168,20.4,21.8,20.1,5.4,4992,27896098902039,7896098902035,12,0
6,03.203204,L L ULTRA GEL CONC YPE CLEAR 12X416G ES,CX,24,7,168,20.4,21.8,20.1,5.4,4992,37896098902036,7896098902035,0,0
6,03.203214,L L ULTRA GEL CONC YPE CLEAR 12X416G FR,CX,24,7,168,20.4,21.8,20.1,5.4,4992,47896098902033,7896098902035,0,0
6,03.2035,L L LIQ YPE CAPIM LIMAO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,27896098902046,7896098902042,0,0
6,03.203501,L L LIQ YPE CAP LIMAO FR 24X500ML E6,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,27896098902053,7896098902059,0,0
6,03.203506,L L LIQ YPE CAP LIMAO FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,37896098902043,7896098902042,0,0
6,03.2036,L L LIQ YPE NEUTRO FR 24X500ML E6 10%,CX,12,7,84,23.2,36.9,24.6,13.071,12.24,27896098901919,7896098901915,0,0
6,03.2040,L L LIQ YPE CLEAR FR 24X500ML L24P22,CX,12,7,84,23.2,36.9,24.6,13.065,12.24,57896098900258,7896098900253,0,0
6,03.2041,L L LIQ YPE CLEAR 4X6X500ML GT ESP,CX,10,7,70,23.3,42.1,24.8,13.8,13,27896098901926,7896098901922,0,0
6,03.2510,L L LIQ ATOL MACA FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.05,12.24,17896055500660,7896055503008,24,0
6,03.251006,L L LIQ ATOL MACA FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896098901714,,0,0
6,03.2511,L L LIQ ATOL LIMAO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896055500677,7896055503206,24,0
6,03.251106,L L LIQ ATOL LIMAO FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896098900717,,0,0
6,03.2512,L L LIQ ATOL NEUTRO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896055500653,7896055503107,24,0
6,03.251206,L L LIQ ATOL NEUTRO FRASCO 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896098905712,,0,0
6,03.2513,L L LIQ ATOL CRISTAL FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896055503357,7896055503350,24,0
6,03.251306,L L LIQ ATOL CRISTAL FR 24X500ML TR,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896098907723,,0,0
6,03.2514,L L LIQ ATOL COCO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896055510065,7896055510068,24,0
6,03.2516,L L LIQ ATOL ACAI FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.09,12.24,17896055510034,,0,0
6,03.2520,L L LIQ ATOL MACA FR 6X2L,CX,13,5,65,32,35.2,23.7,13.06,12,17896055500622,7896055500335,6,0
6,03.2521,L L LIQ ATOL LIMAO FR 6X2L,CX,13,5,65,32,35.2,23.7,13.1,12,17896055501759,7896055500342,6,0
6,03.2522,L L LIQ ATOL NEUTRO FR 6X2L,CX,13,5,65,32,35.2,23.7,13.1,12,17896055500615,7896055500328,6,0
6,03.2523,L L LIQ ATOL CRISTAL FR 6X2L,CX,13,5,65,32,35.2,23.7,13.1,12,17896055503364,7896055503367,6,0
6,03.2524,L L LIQ ATOL COCO FR 6X2L,CX,13,5,65,32,35.2,23.7,13.1,12,17896055510072,7896055510075,6,0
6,03.2532,L L LIQ ATOL NEUTRO FR 4X5L,CX,9,4,36,38,33.5,33.4,21.6,20,17896055500578,7896055503503,4,0
6,03.2533,L L LIQ ATOL CRISTAL FR 4X5L,CX,9,3,27,38,33.5,33.4,21.6,20,17896055503371,7896055503374,4,0
6,03.3001,L L LIQ YPE NEUTRO BOMB 1X5L,UNI,10,4,40,37.3,9,7.5,5.55,5.12,67896098901061,67896098901061,1,0
6,03.3002,L L LIQ YPE CL BOMB 1X5L,UNI,10,4,40,37.3,9,7.5,5.55,5.12,67896098901061,67896098901061,1,0
6,03.3003,L L LIQ YPE NEUTRO BOMB 4X5L,CX,10,4,40,37.3,36,30,21.71,20.48,47896098905201,7896098905203,4,0
6,03.300303,L L LIQ YPE NEUTRO BOMB 4X5L BI,CX,10,4,40,37.3,36,30,21.71,20.48,17896098901967,7896098905203,4,0
6,03.300304,L L LIQ YPE NEUTRO BOMB 4X5L ES,CX,10,4,40,37.3,36,30,21.71,20.48,17896098901974,7896098905203,4,0
6,03.300318,L L LIQ YPE NEUTRO BOMB 4X5L EX,CX,10,4,40,37.3,36,30,21.71,20.48,67896098905205,7896098905203,4,0
6,03.3004,L L LIQ YPE CL BOMB 4X5L,CX,10,4,40,37.3,36,30,21.71,20.48,47896098905256,7896098905258,4,0
6,03.300403,L L LIQ YPE CL BOMB 4X5L BI,CX,10,4,40,37.3,36,30,21.71,20.48,17896098902766,7896098905258,4,0
6,03.300404,L L LIQ YPE CL BOMB 4X5L ES,CX,10,4,40,37.3,36,30,21.71,20.48,17896098902773,7896098905258,4,0
6,03.300418,L L LIQ YPE CL BOMB 4X5L EX,CX,10,4,40,37.3,36,30,21.71,20.48,37896098905259,7896098905258,4,0
6,03.3005,L L LIQ ARO NEUTRO BOMB 4X5L,CX,9,3,27,36.8,33.4,33.4,21.63,20.48,17891986009831,7891986009834,4,0
6,03.3006,L L LIQ ARO CRISTAL BOMB 4X5L,CX,9,3,27,36.8,33.4,33.4,21.63,20.48,17891986009855,7891986009858,4,0
6,03.3010,L L LIQ YPE CLEAR BOMB 4X5L GT 500ML,CX,10,4,40,37.3,36,30,21.71,20.48,17896098905262,7896098905265,0,0
6,03.7001,DET YPE PRO U GERAL FR 7L,UNI,30,3,90,0,0,0,7.277,7105,7896098901809,7896098901809,0,0
6,03.92510,L L LIQ ATOL MACA FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.15,12,17896055502701,7896055502704,24,0
